,year,artist,track,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,1980,AC/DC,You Shook Me All Night Long,2SiXAy7TuUkycRVbbWDEpo,80,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173,4
1,1980,AC/DC,Back In Black,08mG3Y1vljYA6bvDt4Wqkj,82,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,4
2,1980,Daryl Hall & John Oates,You Make My Dreams (Come True),4o6BgsqLIBViaGVbx5rbRk,77,0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,190627,4
3,1980,Queen,Another One Bites The Dust - Remastered 2011,57JVGBtBLCfHw2muk5416J,72,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,214653,4
4,1980,Bob Marley & The Wailers,Could You Be Loved,5O4erNlJ74PIF6kGol1ZrC,79,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,237000,4
5,1980,Dolly Parton,9 to 5,4w3tQBXhn5345eUXDGBWZG,76,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,162467,4
6,1980,Journey,Any Way You Want It,71SvEDmsOwIWw1IozsZoMA,72,0.529,0.932,7,-7.501,1,0.0488,0.00251,0.00109,0.136,0.571,138.158,201693,4
7,1980,Queen,Crazy Little Thing Called Love - Remastered 2011,35ItUJlMtjOQW3SSiTCrrw,68,0.599,0.762,0,-6.887,1,0.0423,0.714,4.43e-06,0.35,0.715,76.961,163373,4
8,1980,Pat Benatar,Hit Me With Your Best Shot,0vOkmmJEtjuFZDzrQSFzEE,72,0.741,0.58,4,-9.05,1,0.0304,0.117,3.31e-05,0.212,0.944,127.402,171267,4
9,1980,REO Speedwagon,Keep on Loving You,4rcHWl68ai6KvpXlc8vbnE,72,0.306,0.722,0,-5.963,1,0.034,0.0519,0,0.117,0.41,174.732,200293,4
10,1980,Billy Joel,It's Still Rock and Roll to Me,64UioB4Nmwgn2f4cbIpAkl,69,0.752,0.684,0,-7.599,1,0.15,0.0994,0,0.0897,0.539,141.075,176440,4
11,1980,Mel McDaniel,Louisiana Saturday Night,50PU05RTGva8laKDwxED9Y,67,0.686,0.622,2,-7.31,1,0.0857,0.532,0,0.0511,0.982,163.245,144187,4
12,1980,38 Special,Hold On Loosely,6i9dZZQWNB06HKsQYKTiPF,66,0.567,0.559,9,-10.175,1,0.0288,0.00888,0.00131,0.0764,0.898,127.227,280636,4
13,1980,Alabama,Song of the South,2uX5f3x2cObov0iDAPln4o,66,0.486,0.633,9,-8.414,1,0.0365,0.176,0,0.312,0.669,162.158,190800,4
14,1980,AC/DC,Hells Bells,69QHm3pustz01CJRwdo20z,73,0.389,0.873,4,-4.768,0,0.0475,0.00532,0.0055,0.273,0.303,106.767,312293,4
15,1980,Motörhead,Ace of Spades,6EPRKhUOdiFSQwGBRBbvsZ,74,0.342,0.91,4,-7.748,1,0.0758,4.02e-05,0.000121,0.0823,0.547,140.452,166360,4
16,1980,AC/DC,Shoot to Thrill,0C80GCp0mMuBzLf3EAXqxv,72,0.457,0.904,2,-5.303,1,0.0747,0.000239,0.0879,0.396,0.48,141.038,317427,4
17,1980,REO Speedwagon,Take It On the Run,5gys5nzVQIYhgHIfiOJYva,66,0.371,0.758,7,-5.679,1,0.036,0.0958,0,0.116,0.452,77.81,239680,4
18,1980,"Hank Williams, Jr.",Dinosaur,0SW6NfA6MTCC6OWNt6SAkV,63,0.614,0.381,4,-14.628,1,0.0441,0.244,4.12e-05,0.0917,0.504,145.056,199667,4
19,1980,The Buggles,Video Killed The Radio Star,6t1FIJlZWTQfIZhsGjaulM,63,0.675,0.61,1,-13.811,1,0.085,0.0852,0.0188,0.159,0.344,131.037,253800,4
20,1980,The Romantics,What I Like About You,4ebcE2SmkG7nplvzFAWRu7,66,0.514,0.942,9,-8.433,1,0.0502,0.282,6.6e-05,0.17,0.912,159.847,175267,4
21,1980,Judas Priest,Breaking the Law,2RaA6kIcvomt77qlIgGhCT,72,0.362,0.961,2,-5.664,1,0.0857,0.024,9.35e-06,0.159,0.491,164.019,153840,4
22,1980,Joy Division,Love Will Tear Us Apart - 2020 Remaster,34iOH7LY3vme5rQxsVILZ4,69,0.527,0.923,2,-7.458,1,0.0379,0.000541,0.765,0.127,0.899,146.924,208453,4
23,1980,Kool & The Gang,Celebration,3K7Q9PHUWPTaknlbFPThn2,70,0.885,0.664,1,-11.795,1,0.0524,0.145,0.0483,0.0767,0.906,121.632,298867,4
24,1980,John Lennon,Beautiful Boy (Darling Boy) - Remastered 2010,5URfZHMlUWTWxPvvSBWcPk,70,0.574,0.469,2,-11.53,1,0.0403,0.733,1.96e-06,0.856,0.435,111.378,245693,4
25,1980,The Police,Don't Stand So Close To Me,5veJDT0MLsLbhYsx42GXUD,68,0.799,0.506,2,-9.414,1,0.0606,0.0453,0.00107,0.0365,0.518,140.309,242667,4
26,1980,ABBA,Lay All Your Love On Me,4euAGZTszWPrriggYK0HG9,74,0.678,0.727,2,-7.844,0,0.0258,0.117,0.00396,0.354,0.71,133.481,274467,4
27,1980,Talking Heads,Once in a Lifetime - 2005 Remaster,38Ngied9rBORlAbLYNCl4k,67,0.644,0.919,2,-6.289,1,0.0561,0.181,0.134,0.622,0.871,117.459,259907,4
28,1980,Rush,The Spirit Of Radio,4e9hUiLsN4mx61ARosFi7p,64,0.365,0.924,4,-7.066,1,0.0488,0.0144,0.000254,0.423,0.632,135.811,296467,4
29,1980,Alabama,I'm in a Hurry (And Don't Know Why),29nNU80zu0vscbrvTi55mG,63,0.748,0.72,9,-7.774,1,0.0286,0.237,0,0.069,0.86,128.69,168813,4
30,1980,Diana Ross,I'm Coming Out,3SnGymj6ijE2iuUfWxLo1q,70,0.72,0.828,5,-9.211,1,0.0462,0.185,0.429,0.0839,0.768,110.071,323347,4
31,1980,Bob Seger,Against The Wind,1SWmFiFSIBoDbQJjNKC7SR,64,0.674,0.771,7,-5.612,1,0.0246,0.28,0.0318,0.133,0.718,109.618,333720,4
32,1980,Raffi,Baby Beluga,7zQFM7bHcyMh4QQFdBkjrE,61,0.663,0.263,3,-13.043,1,0.106,0.847,2.17e-06,0.452,0.571,137.52,160827,4
33,1980,Ambrosia,Biggest Part of Me,6JHXiRD1QjMK1N6AQEnL04,63,0.498,0.723,10,-8.053,1,0.05,0.238,0,0.353,0.882,153.227,324040,4
34,1980,ABBA,The Winner Takes It All,3oEkrIfXfSh9zGnE7eBzSV,74,0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15,294720,4
35,1980,Billy Joel,You May Be Right,7gMOe0gXYcELUoVugfMmHP,63,0.567,0.945,9,-7.243,1,0.0458,0.175,2.6e-06,0.35,0.961,150.792,253200,4
36,1980,Pretenders,Brass in Pocket - 2006 Remaster,1QaJWSCk3UMKLotnPCIHh1,59,0.751,0.703,9,-5.687,1,0.0287,0.368,0.00123,0.196,0.907,97.931,185960,4
37,1980,Bob Marley & The Wailers,Redemption Song,26PwuMotZqcczKLHi4Htz3,70,0.671,0.256,7,-10.743,1,0.0387,0.608,0,0.0737,0.694,115.871,233560,4
38,1980,Steely Dan,Hey Nineteen,1tjK9HhmpEfk0ijyIKsoUk,62,0.952,0.301,2,-13.936,1,0.0612,0.0126,0.000931,0.0387,0.728,119.629,307400,4
39,1980,Air Supply,All Out of Love,7dQC53NiYOY9gKg3Qsu2Bs,70,0.513,0.262,0,-16.875,1,0.0276,0.313,5.51e-06,0.456,0.357,108.383,243000,4
40,1980,Pete Townshend,Let My Love Open The Door,0otlwsD3mSogk7VJCTp6Kg,62,0.651,0.653,0,-9.731,1,0.0545,0.365,0.000117,0.0742,0.729,164.912,164653,4
41,1980,ABBA,Super Trouper,0J2p4KYdr6Mg4ET6JPlbe1,70,0.764,0.626,0,-8.274,1,0.0288,0.457,6.35e-06,0.201,0.961,118.34,252853,4
42,1980,Vicente Fernández,La Diferencia,6wwMqdntt3An3mmVSb613i,66,0.409,0.277,0,-10.276,1,0.0421,0.63,0,0.173,0.534,80.062,170107,4
43,1980,Daryl Hall & John Oates,Kiss on My List,7cDzJyC95jtGO9zAeZsWOg,62,0.815,0.741,0,-9.478,1,0.031,0.434,0.115,0.0689,0.965,121.221,264987,4
44,1980,Alabama,Mountain Music,68SAQUzxfEW1eKxZvhDDEm,59,0.466,0.55,9,-9.517,1,0.0437,0.141,0,0.149,0.747,109.53,217987,4
45,1980,Bruce Springsteen,Hungry Heart,1KsI8NEeAna8ZIdojI3FiT,67,0.641,0.894,8,-7.41,1,0.0273,0.0857,0.009,0.157,0.972,109.823,199453,4
46,1980,Robbie Dupree,Steal Away - Remastered,7v5rsCN3LhX9XaIlWyTdx3,57,0.72,0.569,2,-11.466,1,0.0418,0.142,0.000188,0.0629,0.713,122.403,213973,4
47,1980,Grateful Dead,Althea - 2013 Remaster,7M7AwtGvWdMYudqx5Iuh1m,59,0.783,0.284,9,-14.307,1,0.0365,0.679,0.282,0.0767,0.584,82.676,412596,4
48,1980,The Cure,A Forest - 2006 Remaster,3O4TPMOgChXOerSdB5WENH,57,0.633,0.62,0,-11.271,1,0.0648,0.34,0.605,0.0977,0.421,81.117,354933,4
49,1980,"Crosby, Stills & Nash",Love the One You're With,6kXGGyEPSRS1g9Ltm70jo9,59,0.609,0.489,0,-12.9,1,0.0385,0.0674,0,0.101,0.131,97.163,184653,4
50,1980,Johnny Lee,Lookin' for Love,5pvNhGuCow3Eq1nWbP3Sco,56,0.74,0.394,2,-15.126,1,0.0331,0.586,0.000215,0.316,0.78,123.689,220440,4
51,1980,AC/DC,Rock and Roll Ain't Noise Pollution,6J17MkMmuzBiIOjRH6MOBZ,62,0.576,0.659,9,-5.617,1,0.0383,0.041,0,0.0587,0.717,94.853,266040,4
52,1980,Alabama,Dixieland Delight - Single Edit,6ZijsJ9Oh0xgOdY0O1xCWN,58,0.464,0.405,7,-12.538,1,0.033,0.208,1.1e-05,0.0611,0.514,95.852,236427,4
53,1980,Black Sabbath,Heaven and Hell - 2008 Remaster,3Jl5GohfNwozDmpzmQBLDI,57,0.329,0.673,3,-8.465,0,0.0296,0.0239,0.109,0.138,0.323,91.122,419933,4
54,1980,Judas Priest,Living After Midnight,0IXpUl1fn2QZcBavfuq0H4,63,0.61,0.824,4,-6.046,1,0.0534,0.0136,1.75e-06,0.0606,0.819,134.992,210133,4
55,1980,Teddy Pendergrass,Love T.K.O.,3IVaPHncIZWWNjfg29HVLq,59,0.779,0.543,8,-10.544,0,0.0923,0.367,0.000443,0.0541,0.842,145.869,299120,4
56,1980,Billy Joel,Don't Ask Me Why,6g4vHtdGqD5eEgpf7nKISk,59,0.691,0.726,5,-7.353,1,0.0543,0.138,0,0.11,0.868,98.418,177360,4
57,1980,Dire Straits,Romeo and Juliet,57MflfPN3ObQQAQtPUp0WF,55,0.602,0.574,5,-8.169,1,0.0278,0.437,0.00415,0.0751,0.486,87.318,361395,4
58,1980,Queen,Another One Bites The Dust,291RmMazWAmDitFuD6NJCv,56,0.926,0.366,5,-13.159,0,0.122,0.0483,0.136,0.119,0.784,109.884,215867,4
59,1980,George Jones,He Stopped Loving Her Today,1q0wCfrE9eGFMzS2g8aVnx,57,0.351,0.21,8,-14.838,1,0.0334,0.76,0.000138,0.29,0.394,144.25,195760,4
60,1980,Diana Ross,Upside Down,3pbtBomO4Zt5gGiqsYeiBH,68,0.873,0.855,5,-8.559,0,0.0615,0.179,0.0285,0.0377,0.884,107.868,245600,4
